,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,"The amount of storage acitvely used/required regardless of infastructure, proceeding rows are scalled off the row scalar value",Amount to scale proceeding storage req rows,,The costs of aws storage pricing between the 3 tiers,,,,Percentage of the required storage used in network transfers per month ,Calulated Data Transfer Used TB/Month,,AWS S3 data transfer pricing between the 4 tiers,,,,,,,,,storage per dedicated OVH insance,Cost per instance,"required replicas, typically 3 or 5",,,,"Cost difference between AWS and Dedivated OVH                                                        (represents how much more AWS costs, larger numbers favor OVH)",,,"**NOTE: This is a simplification of pricing, AWS would actually cost more due to API calls and other additional charges not calcuated here; Storage/networking alone is enough to show how AWS S3 is not viable at scale"
Label:,System Storage Required (TB) (only edit first value),Row Storage Req Scalar,,First 50TB Storage $/GB/Mo,Next 450 TB Storage $/GB/Mo,Over 500TB Storage $/GB/Mo,,Average Storage Transfer Usage [1 = 100%],Calulated Data Transfer Used TB/Month,,First 10TB Transfer $/GB,Next 40TB Transfer $/GB,Next 100TB Transfer $/GB,Over 150TB Transfer $/GB,,Calculated AWS Storage COST,Calculated AWS Transfer Cost,Calculated AWS Cost TOTAL,,OVH STOR DED SIZE TB,OVH STOR INST COST/MO,REPLICAS,,Calculated OVH COST TOTAL,,Calculated AWS - OVH $ DIFF,Calculated AWS/OVH % DIFF,,
Init Value:,10,1.1,,0.023,0.022,0.021,,0.1,1,,0.09,0.085,0.07,0.05,,230,90,320,,84,180.5,3,,541.5,,-221.5,0.590951062,,
,11,1.1,,0.023,0.022,0.021,,0.1,1.1,,0.09,0.085,0.07,0.05,,253,99,352,,84,180.5,3,,541.5,,-189.5,0.650046168,,
,12.1,1.1,,0.023,0.022,0.021,,0.1,1.21,,0.09,0.085,0.07,0.05,,278.3,108.9,387.2,,84,180.5,3,,541.5,,-154.3,0.715050785,,
,13.31,1.1,,0.023,0.022,0.021,,0.1,1.331,,0.09,0.085,0.07,0.05,,306.13,119.79,425.92,,84,180.5,3,,541.5,,-115.58,0.786555863,,
,14.641,1.1,,0.023,0.022,0.021,,0.1,1.4641,,0.09,0.085,0.07,0.05,,336.743,131.769,468.512,,84,180.5,3,,541.5,,-72.988,0.86521145,,
,16.1051,1.1,,0.023,0.022,0.021,,0.1,1.61051,,0.09,0.085,0.07,0.05,,370.4173,144.9459,515.3632,,84,180.5,3,,541.5,,-26.1368,0.951732595,,
,17.71561,1.1,,0.023,0.022,0.021,,0.1,1.771561,,0.09,0.085,0.07,0.05,,407.45903,159.44049,566.89952,,84,180.5,3,,541.5,,25.39952,1.046905854,,
,19.487171,1.1,,0.023,0.022,0.021,,0.1,1.9487171,,0.09,0.085,0.07,0.05,,448.204933,175.384539,623.589472,,84,180.5,3,,541.5,,82.089472,1.15159644,,
,21.4358881,1.1,,0.023,0.022,0.021,,0.1,2.14358881,,0.09,0.085,0.07,0.05,,493.0254263,192.9229929,685.9484192,,84,180.5,3,,541.5,,144.4484192,1.266756083,,
